"SourceProject","TargetProject","OutboundLinks","InboundLinks","TotalLinks"
"COR","COR","123","155","278"
"ACM","ACM","66","181","247"
"CAD","CAD","125","100","225"
"PDS","PDS","204","16","220"
"MCCP","MCCP","100","112","212"
"DPSS","DPSS","87","81","168"
"CCP","CCP","77","73","150"
"CACS","CACS","62","84","146"
"OAE","OAE","94","47","141"
"PAY","PAY","64","77","141"
"MCCE","MCCE","57","64","121"
"CES","CES","65","51","116"
"EMC","EMC","36","78","114"
"DEP","DEP","54","42","96"
"DBEAN","DBEAN","51","45","96"
"SE","SE","45","44","89"
"CARD","CARD","52","30","82"
"CIA","CIA","58","18","76"
"AUT","AUT","34","40","74"
"ESDL","ESDL","24","41","65"
"COL","COL","34","30","64"
"PLAQ","PLAQ","33","30","63"
"CCOL","CCOL","40","22","62"
"SRE","SRE","26","34","60"
"CDL","CDL","39","18","57"
"IAM","IAM","31","22","53"
"CNE","CNE","7","43","50"
"DCI","DCI","25","23","48"
"PLOS","PLOS","27","20","47"
"PLAT","PLAT","23","24","47"
"POP","OSO","32","11","43"
"DEP","DPR","21","21","42"
"CDAD","CDAD","21","19","40"
"MCLD","MCLD","16","19","35"
"COMMS","COMMS","18","12","30"
"OAE","DBEAN","17","13","30"
"TRIM","TRIM","16","13","29"
"ACQE","ACQE","11","15","26"
"ONE","ONE","18","7","25"
"IMG","IMG","15","9","24"
"OAE","PAY","19","5","24"
"FORMS","INSO","9","15","24"
"PDS","TOCA","24","0","24"
"CARD","CCP","20","3","23"
"ACQ","ACQ","12","11","23"
"UN","UN","13","9","22"
"CTGR","CTGR","15","7","22"
"CNS","CNS","11","11","22"
"CRSK","CRSK","12","9","21"
"DS","DS","11","10","21"
"SRE","EMC","10","11","21"
"EMC","SRE","4","16","20"
"CARC","CARC","11","9","20"
"CISRE","CISRE","13","7","20"
"DBA","DBA","12","7","19"
"MES","MES","15","4","19"
"CCP","CARD","14","3","17"
"LAS","PSM","10","7","17"
"UPT","UPT","8","8","16"
"OPSAN","OPSAN","11","5","16"
"CONT","CONT","9","5","14"
"ETAC","ETAC","8","6","14"
"OSO","OSO","1","13","14"
"LAS","LAS","7","7","14"
"CARD","CDL","8","5","13"
"DARC","DARC","4","8","12"
"DS","UPT","9","3","12"
"FORMS","FORMS","6","4","10"
"DAWA","DAWA","5","5","10"
"DE","DE","4","6","10"
"ERD","DE","4","6","10"
"COL","CTGR","1","8","9"
"OSO","POP","4","5","9"
"HRES","HRES","4","5","9"
"FORMS","ENGOPS","4","4","8"
"ERD","ERD","4","4","8"
"DPR","DEP","3","5","8"
"ACQE","WACQE","8","0","8"
"DCI","IAM","3","4","7"
"ENGOPS","PAY","4","3","7"
"ME","ME","5","2","7"
"CNE","CACS","6","1","7"
"DBEAN","PAY","2","4","6"
"BINT","BINT","4","2","6"
"ZCS","ZCS","5","1","6"
"DBEAN","OAE","2","4","6"
"DCOM","DCOM","4","2","6"
"POP","POP","4","2","6"
"MCCP","MCLD","3","3","6"
"ESDL","CES","1","4","5"
"UPT","DS","3","2","5"
"ENGOPS","ENGOPS","2","3","5"
"IAM","DCI","3","2","5"
"AI","DCI","1","4","5"
"PLAQ","PLAT","2","3","5"
"CES","ESDL","4","1","5"
"PAY","DBEAN","2","3","5"
"CES","CRSK","3","2","5"
"SIGN","SIGN","2","3","5"
"CES","DE","2","2","4"
"CES","AUT","2","2","4"
"DCOM","CNSS","1","3","4"
"POS","LAS","2","2","4"
"ERD","COR","4","0","4"
"AI","AI","1","3","4"
"PLAT","PLAQ","2","2","4"
"BAS","BAS","3","1","4"
"LAW","ENGOPS","2","2","4"
"MCCE","MCLNE","1","3","4"
"ENGOPS","CTGR","2","2","4"
"ENGOPS","AUT","2","2","4"
"FORMS","E","4","0","4"
"PSM","PSM","2","2","4"
"MCLNE","MCCP","2","2","4"
"CIA","UN","2","2","4"
"COMP","FORMS","2","2","4"
"IMG","DPSS","1","3","4"
"CIA","MCCE","2","2","4"
"DPSS","IMG","2","2","4"
"ACM","STG","4","0","4"
"CAPE","CRSK","2","2","4"
"AUT","AUTO","4","0","4"
"CBRE","CBRE","2","2","4"
"POP","EMC","3","0","3"
"INSO","INSO","1","2","3"
"ONE","DBEAN","1","2","3"
"CENG","CENG","3","0","3"
"MCLNE","MCLNE","2","1","3"
"PDS","DCI","2","1","3"
"OAE","CJI","2","1","3"
"CAD","AUT","1","2","3"
"INTG","INTG","1","2","3"
"CE","CE","3","0","3"
"DPSS","SIGN","2","1","3"
"CISRE","UPT","2","1","3"
"GENAI","EA","3","0","3"
"ACQ","UX","1","2","3"
"CACS","CISRE","1","2","3"
"MCCE","CACS","2","1","3"
"UPT","ONE","3","0","3"
"CRSK","CES","1","2","3"
"ENGOPS","LAS","1","2","3"
"MCLD","MCCP","1","1","2"
"CTEM","CACS","1","1","2"
"UX","ACQ","2","0","2"
"DR","PSM","1","1","2"
"SRE","CES","1","1","2"
"UPT","CAD","1","1","2"
"CES","DARC","1","1","2"
"CBRE","CAD","1","1","2"
"COL","PSM","1","1","2"
"MCCP","COL","1","1","2"
"CES","PDS","1","1","2"
"AUT","CAD","1","1","2"
"MCCP","ACQ","2","0","2"
"IAM","OSO","1","1","2"
"FORMS","SEN","1","1","2"
"COL","LAS","1","1","2"
"DBA","ACQE","1","1","2"
"LAW","E","2","0","2"
"DE","DEP","1","1","2"
"CISRE","SRE","1","1","2"
"COL","MCCE","1","1","2"
"COMMS","MCCE","1","1","2"
"GENAI","MES","2","0","2"
"GENAI","IAM","2","0","2"
"ENGOPS","E","2","0","2"
"MCENG","MCENG","2","0","2"
"MCCE","OAE","1","1","2"
"MCCP","MCCE","1","1","2"
"CDL","ME","2","0","2"
"PAY","ENGOPS","1","1","2"
"CTEM","CTEM","1","1","2"
"CDL","CARD","1","1","2"
"INSO","LAS","1","1","2"
"COR","COL","1","1","2"
"EA","EA","1","1","2"
"CNS","CNSS","1","1","2"
"CNS","CVE","2","0","2"
"CACS","ACQ","1","1","2"
"CACS","CARD","1","1","2"
"DARC","CES","1","1","2"
"CACS","DCI","2","0","2"
"MCLD","CISRE","1","1","2"
"CRSK","CAPE","1","1","2"
"COPS","IAM","1","1","2"
"CRSK","ACQ","1","1","2"
"CIA","UX","1","1","2"
"DCI","DEP","1","1","2"
"COMP","COR","1","1","2"
"ACQ","SIGN","1","1","2"
"ACQE","DBA","1","1","2"
"PDS","SRE","1","1","2"
"ACQ","PLAQ","1","1","2"
"MCCE","MCARD","2","0","2"
"PDS","CES","1","1","2"
"COR","PAY","1","1","2"
"ONE","OAE","1","1","2"
"CCP","ONE","1","1","2"
"ACQE","ACQ","2","0","2"
"COR","AUT","1","1","2"
"COR","ACQ","1","1","2"
"COR","CAPE","1","1","2"
"DOC","CI","1","0","1"
"CACS","CAPS","1","0","1"
"MCLNE","MCLD","1","0","1"
"COL","SVCCOL","1","0","1"
"OAE","TRIM","1","0","1"
"MCLNE","MCARD","1","0","1"
"CNSS","CCOL","1","0","1"
"COL","SEN","1","0","1"
"CAD","IMG","1","0","1"
"UPT","SRE","1","0","1"
"SRE","CI","1","0","1"
"DE","CIA","1","0","1"
"CDAD","DCI","1","0","1"
"DBEAN","EMC","1","0","1"
"CDAD","CACS","1","0","1"
"CNSS","CNE","1","0","1"
"ICS","ICS","1","0","1"
"COR","DE","1","0","1"
"CTGR","CES","1","0","1"
"CRSK","PSM","1","0","1"
"CRSK","AI","1","0","1"
"MCLD","ACM","1","0","1"
"CNE","CAPS","1","0","1"
"CNE","EMC","1","0","1"
"CNS","ETAC","1","0","1"
"CNS","CACS","1","0","1"
"POP","DBA","1","0","1"
"DCI","SRE","1","0","1"
"PDS","LAS","1","0","1"
"CISRE","DEP","1","0","1"
"DPSS","E","1","0","1"
"DPSS","ENGOPS","1","0","1"
"PLAQ","CRSK","1","0","1"
"MCCP","DAWA","1","0","1"
"CES","CARD","1","0","1"
"MCCE","CARD","1","0","1"
"SRE","DCI","1","0","1"
"PAY","CLSS","1","0","1"
"FORMS","PAY","1","0","1"
"CCP","CI","1","0","1"
"PDS","CNE","1","0","1"
"CCP","CES","1","0","1"
"MCARD","MCARD","1","0","1"
"COMP","COL","1","0","1"
"CNSS","CNSS","1","0","1"
