"Id","Key","Name","Custom","Orderable","Navigable","Searchable","ClauseNames","SchemaType","SchemaItems","SchemaSystem","SchemaCustom","SchemaCustomId","SchemaConfiguration","ScopeType","ScopeProjectId","ScopeProjectKey","GeneratedAt"
"customfield_10022","","[CHART] Date of First Response","false","false","false","false","","datetime","","","com.atlassian.jira.ext.charting:firstresponsedate","10022","","","","","2025-09-18T01:32:32.768Z"
"customfield_10023","","[CHART] Time in Status","false","false","false","false","","any","","","com.atlassian.jira.ext.charting:timeinstatus","10023","","","","","2025-09-18T01:32:34.167Z"
"customfield_10030","","Acceptance Criteria","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","10030","","","","","2025-09-18T01:32:34.169Z"
"customfield_11170","","Acceptance Criteria (migrated 2)","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","11170","","","","","2025-09-18T01:32:34.183Z"
"customfield_10719","","Account Manual Fields","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","10719","","","","","2025-09-18T01:32:34.198Z"
"customfield_11086","","Account Manual Fields (migrated 2)","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","11086","","","","","2025-09-18T01:32:34.199Z"
"customfield_10744","","Account Manual Fields (migrated)","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","10744","","","","","2025-09-18T01:32:34.543Z"
"customfield_10616","","Accounting Notes","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","10616","","","","","2025-09-18T01:32:34.570Z"
"customfield_10983","","Accounting Notes (migrated 2)","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","10983","","","","","2025-09-18T01:32:34.572Z"
"customfield_10489","","ACH/Wire Transaction #","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textfield","10489","","","","","2025-09-18T01:32:34.576Z"
"customfield_10857","","ACH/Wire Transaction # (migrated 2)","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textfield","10857","","","","","2025-09-18T01:32:34.579Z"
"customfield_10727","","ACH/Wire Transaction # (migrated)","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textfield","10727","","","","","2025-09-18T01:32:34.581Z"
"customfield_11153","","Actual end","false","false","false","false","","datetime","","","com.atlassian.jira.plugin.system.customfieldtypes:datetime","11153","","","","","2025-09-18T01:32:34.583Z"
"customfield_10028","","Actual Result","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","10028","","","","","2025-09-18T01:32:34.636Z"
"customfield_11872","","Actual Size","false","false","false","false","","number","","","com.atlassian.jira.plugin.system.customfieldtypes:float","11872","","","","","2025-09-18T01:32:34.638Z"
"customfield_12070","","Actual Size (migrated)","false","false","false","false","","number","","","com.atlassian.jira.plugin.system.customfieldtypes:float","12070","","","","","2025-09-18T01:32:34.642Z"
"customfield_11150","","Actual start","false","false","false","false","","datetime","","","com.atlassian.jira.plugin.system.customfieldtypes:datetime","11150","","","","","2025-09-18T01:32:34.808Z"
"customfield_10714","","Added date diff","false","false","false","false","","number","","","com.atlassian.jira.plugin.system.customfieldtypes:float","10714","","","","","2025-09-18T01:32:34.810Z"
"customfield_11770","","Additional  Pricing Required s","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textfield","11770","","","","","2025-09-18T01:32:34.846Z"
"customfield_10648","","Additional Pricing Required","false","false","false","false","","option","","","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons","10648","","","","","2025-09-18T01:32:34.944Z"
"customfield_11015","","Additional Pricing Required (migrated 2)","false","false","false","false","","option","","","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons","11015","","","","","2025-09-18T01:32:34.944Z"
"customfield_10732","","Additional Pricing Required (migrated)","false","false","false","false","","option","","","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons","10732","","","","","2025-09-18T01:32:34.946Z"
"customfield_10296","","Affected services","false","false","false","false","","array","service-entity-field","","com.atlassian.jira.plugins.service-entity:service-entity-field-cftype","10296","","","","","2025-09-18T01:32:35.130Z"
"versions","","Affects versions","false","false","false","false","","array","version","versions","","","","","","","2025-09-18T01:32:35.136Z"
"customfield_10234","","Alert!!!","false","false","false","false","","string","","","com.atlassian.jira.toolkit:message","10234","","","","","2025-09-18T01:32:35.138Z"
"customfield_10635","","All Testers","false","false","false","false","","array","user","","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker","10635","","","","","2025-09-18T01:32:35.139Z"
"customfield_10593","","Analysis Document","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:url","10593","","","","","2025-09-18T01:32:35.139Z"
"customfield_10533","","Analytics Lead","false","false","false","false","","user","","","com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10533","","","","","2025-09-18T01:32:35.141Z"
"customfield_10901","","Analytics Lead (migrated)","false","false","false","false","","user","","","com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10901","","","","","2025-09-18T01:32:35.141Z"
"customfield_11516","","Analytics Lead (migrated) (migrated)","false","false","false","false","","user","","","com.atlassian.jira.plugin.system.customfieldtypes:userpicker","11516","","","","","2025-09-18T01:32:35.141Z"
"customfield_10275","","Approval Time","false","false","false","false","","datetime","","","com.atlassian.jira.plugin.system.customfieldtypes:datetime","10275","","","","","2025-09-18T01:32:35.143Z"
"customfield_11306","","Approval Time (migrated 2)","false","false","false","false","","datetime","","","com.atlassian.jira.plugin.system.customfieldtypes:datetime","11306","","","","","2025-09-18T01:32:35.143Z"
"customfield_10845","","Approval Time (migrated) (migrated)","false","false","false","false","","datetime","","","com.atlassian.jira.plugin.system.customfieldtypes:datetime","10845","","","","","2025-09-18T01:32:35.144Z"
"customfield_11383","","Approval Time (migrated) (migrated) (migrated)","false","false","false","false","","datetime","","","com.atlassian.jira.plugin.system.customfieldtypes:datetime","11383","","","","","2025-09-18T01:32:35.146Z"
"customfield_12135","","Approvals","false","false","false","false","","sd-approvals","","","com.atlassian.servicedesk.approvals-plugin:sd-approvals","12135","","","","","2025-09-18T01:32:35.378Z"
"customfield_11768","","Approver 1 User Name","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textfield","11768","","","","","2025-09-18T01:32:35.382Z"
"customfield_11773","","Approver 2 User Name","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textfield","11773","","","","","2025-09-18T01:32:35.404Z"
"customfield_11777","","Approver 3 User Name","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textfield","11777","","","","","2025-09-18T01:32:35.407Z"
"customfield_10003","","Approvers","false","false","false","false","","array","user","","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker","10003","","","","","2025-09-18T01:32:35.408Z"
"customfield_11131","","Approvers (migrated 2)","false","false","false","false","","array","user","","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker","11131","","","","","2025-09-18T01:32:35.408Z"
"customfield_11160","","Approvers (migrated 3)","false","false","false","false","","array","user","","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker","11160","","","","","2025-09-18T01:32:35.410Z"
"customfield_10496","","Approvers (migrated)","false","false","false","false","","array","user","","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker","10496","","","","","2025-09-18T01:32:35.412Z"
"customfield_10864","","Approvers (migrated) (migrated)","false","false","false","false","","array","user","","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker","10864","","","","","2025-09-18T01:32:35.412Z"
"customfield_11480","","Approvers (migrated) (migrated) (migrated)","false","false","false","false","","array","user","","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker","11480","","","","","2025-09-18T01:32:35.418Z"
"customfield_10205","","Approvers: Code Review","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","10205","","","","","2025-09-18T01:32:35.424Z"
"customfield_10788","","Approvers: Code Review (migrated 2)","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","10788","","","","","2025-09-18T01:32:35.513Z"
"customfield_11247","","Approvers: Code Review (migrated 2) (migrated)","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","11247","","","","","2025-09-18T01:32:35.515Z"
"customfield_10572","","Approvers: Code Review (migrated)","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","10572","","","","","2025-09-18T01:32:35.518Z"
"customfield_10940","","Approvers: Code Review (migrated) (migrated)","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","10940","","","","","2025-09-18T01:32:35.519Z"
"customfield_11555","","Approvers: Code Review (migrated) (migrated) (migrated)","false","false","false","false","","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","11555","","","","","2025-09-18T01:32:35.526Z"
