"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"CCOL-324","https://onemain.atlassian.net/browse/CCOL-324","CCOL1-6","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-6","Cloners","outward","CCOL-270","https://onemain.atlassian.net/browse/CCOL-270","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-329","https://onemain.atlassian.net/browse/CCOL-329","CCOL1-50","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-50","Cloners","outward","CCOL-275","https://onemain.atlassian.net/browse/CCOL-275","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-330","https://onemain.atlassian.net/browse/CCOL-330","CCOL1-61","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-61","Cloners","outward","CCOL-276","https://onemain.atlassian.net/browse/CCOL-276","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-331","https://onemain.atlassian.net/browse/CCOL-331","CCOL1-62","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-62","Cloners","outward","CCOL-277","https://onemain.atlassian.net/browse/CCOL-277","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-332","https://onemain.atlassian.net/browse/CCOL-332","CCOL1-63","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-63","Cloners","outward","CCOL-278","https://onemain.atlassian.net/browse/CCOL-278","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-333","https://onemain.atlassian.net/browse/CCOL-333","CCOL1-82","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-82","Cloners","outward","CCOL-279","https://onemain.atlassian.net/browse/CCOL-279","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-338","https://onemain.atlassian.net/browse/CCOL-338","CCOL1-80","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-80","Cloners","outward","CCOL-329","https://onemain.atlassian.net/browse/CCOL-329","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-339","https://onemain.atlassian.net/browse/CCOL-339","CCOL1-79","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-79","Cloners","outward","CCOL-330","https://onemain.atlassian.net/browse/CCOL-330","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-340","https://onemain.atlassian.net/browse/CCOL-340","CCOL1-78","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-78","Cloners","outward","CCOL-331","https://onemain.atlassian.net/browse/CCOL-331","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-341","https://onemain.atlassian.net/browse/CCOL-341","CCOL1-77","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-77","Cloners","outward","CCOL-332","https://onemain.atlassian.net/browse/CCOL-332","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-342","https://onemain.atlassian.net/browse/CCOL-342","CCOL1-76","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-76","Cloners","outward","CCOL-333","https://onemain.atlassian.net/browse/CCOL-333","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-447","https://onemain.atlassian.net/browse/CCOL-447","CCOL1-18","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-18","Blocks","outward","CCOL-434","https://onemain.atlassian.net/browse/CCOL-434","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-459","https://onemain.atlassian.net/browse/CCOL-459","CCOL1-16","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-16","Cloners","outward","CCOL-359","https://onemain.atlassian.net/browse/CCOL-359","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-460","https://onemain.atlassian.net/browse/CCOL-460","CCOL1-15","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-15","Cloners","outward","CCOL-360","https://onemain.atlassian.net/browse/CCOL-360","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-461","https://onemain.atlassian.net/browse/CCOL-461","CCOL1-14","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-14","Cloners","outward","CCOL-361","https://onemain.atlassian.net/browse/CCOL-361","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-504","https://onemain.atlassian.net/browse/CCOL-504","CCOL1-41","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-41","Cloners","outward","CCOL-173","https://onemain.atlassian.net/browse/CCOL-173","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-505","https://onemain.atlassian.net/browse/CCOL-505","CCOL1-40","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-40","Cloners","outward","CCOL-174","https://onemain.atlassian.net/browse/CCOL-174","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-506","https://onemain.atlassian.net/browse/CCOL-506","CCOL1-39","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-39","Cloners","outward","CCOL-175","https://onemain.atlassian.net/browse/CCOL-175","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-507","https://onemain.atlassian.net/browse/CCOL-507","CCOL1-38","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-38","Cloners","outward","CCOL-176","https://onemain.atlassian.net/browse/CCOL-176","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCOL-508","https://onemain.atlassian.net/browse/CCOL-508","CCOL1-37","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCOL1-37","Cloners","outward","CCOL-177","https://onemain.atlassian.net/browse/CCOL-177","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
