"SourceKey","TargetKey","LinkType","Direction","LinkedSourceKey","Error","ErrorDetails","SourceURL","TargetURL"
"PDS-3188","PDS1-82","Discovery - Connected","inward","PDS-3137","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-3188","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-82"
"PDS-3188","PDS1-82","Discovery - Connected","inward","PDS-3136","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-3188","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-82"
"PDS-2306","PDS1-74","KR","inward","PDS-2517","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2306","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-74"
"PDS-2423","PDS1-77","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2423","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-77"
"PDS-2517","PDS1-225","KR","outward","PDS-2306","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2517","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-225"
"PDS-2517","PDS1-225","KR","outward","PDS-2125","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2517","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-225"
"PDS-2517","PDS1-225","KR","outward","PDS-1567","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2517","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-225"
"PDS-2518","PDS1-277","KR","outward","PDS-2423","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-2145","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-2144","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-2143","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-2142","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-2022","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-1828","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-1275","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-2121","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-2120","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-2026","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-1890","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-1889","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-2083","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-2570","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2518","PDS1-277","KR","outward","PDS-2569","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2518","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-277"
"PDS-2569","PDS1-278","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2569","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-278"
"PDS-2570","PDS1-279","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2570","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-279"
"PDS-3136","PDS1-205","Discovery - Connected","outward","PDS-3188","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-3136","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-205"
"PDS-3137","PDS1-131","Discovery - Connected","outward","PDS-3188","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-3137","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-131"
"PDS-1275","PDS1-95","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-1275","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-95"
"PDS-1567","PDS1-79","KR","inward","PDS-2517","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-1567","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-79"
"PDS-2145","PDS1-100","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2145","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-100"
"PDS-2144","PDS1-96","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2144","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-96"
"PDS-2143","PDS1-97","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2143","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-97"
"PDS-2142","PDS1-98","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2142","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-98"
"PDS-1828","PDS1-76","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-1828","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-76"
"PDS-1889","PDS1-211","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-1889","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-211"
"PDS-1890","PDS1-212","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-1890","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-212"
"PDS-2022","PDS1-102","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2022","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-102"
"PDS-2026","PDS1-192","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2026","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-192"
"PDS-2083","PDS1-190","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2083","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-190"
"PDS-2120","PDS1-194","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2120","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-194"
"PDS-2121","PDS1-193","KR","inward","PDS-2518","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2121","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-193"
"PDS-2125","PDS1-88","KR","inward","PDS-2517","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/PDS-2125","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PDS1-88"
